INSTRUMENTO,Nº DO TERMO,TERMO DE COLABORAÇÃO,MÊS COMPETÊNCIA,ANO COMPETÊNCIA,ITEM,DESCRIÇÃO,VALOR,NF,EMPRESA,STATUS,DATA PGTO
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,FEVEREIRO,2026,1.5.13,MATERIAL PARA FESTIVIDADES,"R$ 1.277,03",6110.0,FORTAL,PAGA,13/02/2026
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,FEVEREIRO,2026,1.5.13,MATERIAL PARA FESTIVIDADES,"R$ 264,57",152.0,ARRUDA,PAGA,13/02/2026
1247749,25/2022,CSMI CURIÓ,JANEIRO,2026,1.3.2,SERVIÇOS GRÁFICOS,"R$ 2.160,00",63.0,KM SERVIÇOS,PAGA,26/01/2026
1247749,25/2022,CSMI CURIÓ,JANEIRO,2026,1.6.1,ALIMENTAÇÃO PARA EVENTOS,"R$ 508,00",118.0,AVANTI,PAGA,30/01/2026
1247749,25/2022,CSMI CURIÓ,JANEIRO,2026,1.6.2,EPI’S COZINHA,"R$ 174,00",120.0,AVANTI,PAGA,30/01/2026
1247749,25/2022,CSMI CURIÓ,JANEIRO,2026,1.6.3,MATERIAL DE EXPEDIENTE,"R$ 531,56",6098.0,FORTAL,PAGA,30/01/2026
1247749,25/2022,CSMI CURIÓ,JANEIRO,2026,1.6.4,MATERIAL DE LIMPEZA,"R$ 1.890,60",550.0,R&R,PAGA,30/01/2026
1247749,25/2022,CSMI CURIÓ,FEVEREIRO,2026,1.6.5,MATERIAL PARA REPAROS,"R$ 243,45",7638.0,ÍCONE,PAGA,20/02/2026
1247749,25/2022,CSMI CURIÓ,JANEIRO,2026,1.6.19,MATERIAL PEDAGÓGICO,"R$ 638,89",6100.0,FORTAL,PAGA,30/01/2026
1247749,25/2022,CSMI CURIÓ,JANEIRO,2026,1.6.19,MATERIAL PEDAGÓGICO,"R$ 35,40",6099.0,FORTAL,PAGA,03/02/2026
1247749,25/2022,CSMI CURIÓ,JANEIRO,2026,1.6.20,PRIMEIROS SOCORROS,"R$ 717,00",119.0,AVANTI,PAGA,30/01/2026
1247749,25/2022,CSMI CURIÓ,JANEIRO,2026,1.6.21,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO E SUP,"R$ 319,90",6101.0,FORTAL,PAGA,30/01/2026
1247749,25/2022,CSMI CURIÓ,JANEIRO,2026,1.6.22,UNIFORME EM GERAL,"R$ 432,00",549.0,R&R,PAGA,30/01/2026
1247749,25/2022,CSMI CURIÓ,FEVEREIRO,2026,1.6.25,MATERIAL PARA FESTIVIDADES,"R$ 5.046,48",6113.0,FORTAL,PAGA,20/02/2026
1247749,25/2022,CSMI CURIÓ,FEVEREIRO,2026,1.6.1,ALIMENTAÇÃO PARA EVENTOS,"R$ 668,10",150.0,AVANTI,PAGA,20/02/2026
1247749,25/2022,CSMI CURIÓ,FEVEREIRO,2026,1.6.3,MATERIAL DE EXPEDIENTE,"R$ 1.046,60",6188.0,FORTAL,PAGA,20/02/2026
1247749,25/2022,CSMI CURIÓ,FEVEREIRO,2026,1.6.4,MATERIAL DE LIMPEZA,"R$ 3.311,80",569.0,R&R,PAGA,20/02/2026
1247749,25/2022,CSMI CURIÓ,FEVEREIRO,2026,1.6.19,MATERIAL PEDAGÓGICO,"R$ 1.544,46",6145.0,FORTAL,PAGA,20/02/2026
